id,name1,name2
1,Bremer, P.-T.
2,Pang, A.
3,Kirby, R.M.
4,Heinzl, C.
5,Munzner, T.
6,Weigle, C.
7,Bongshin Lee
8,Janetzko, H.
9,Correa, C.
10,Huang, J.
11,Weinkauf, T.
12,Song Zhang
13,Deussen, O.
14,Ziemkiewicz, C.
15,Mackinlay, J.
16,Livnat, Y.
17,Zhicheng Liu
18,Kohlhammer, J.
19,Erlebacher, G.
20,Gaither, K.
21,McGuffin, M.J.
22,Swan, J.E.
23,Jing Hua
24,Bertram, M.
25,Hesselink, L.
26,Scopigno, R.
27,Gresh, D.L.
28,Eick, S.G.
29,Brandes, U.
30,Ellsworth, D.
31,Grinstein, G.
32,Mueller, K.
33,Garland, M.
34,Kanitsar, A.
35,Piringer, H.
36,Andrienko, N.
37,Hanqi Guo
38,Whiting, M.
39,Wang, S.
40,Chalmers, M.
41,Guthe, S.
42,Carr, H.
43,Shixia Liu
44,Roth, S.F.
45,Groller, E.
46,Keim, D.A.
47,Interrante, V.
48,Andrienko, G.
49,Breen, D.
50,Laidlaw, D.H.
51,Viegas, F.B.
52,Burch, M.
53,Majumder, A.
54,Ynnerman, A.
55,Theisel, H.
56,Koch, S.
57,Hao, M.C.
58,Rohrdantz, C.
59,Fuchs, H.
60,Pfister, H.
61,Cohen-Or, D.
62,Miksch, S.
63,Slingsby, A.
64,Schroeder, W.J.
65,Perer, A.
66,Preim, B.
67,Keahey, T.A.
68,Johnson, C.R.
69,Yun Jang
70,Vilanova, A.
71,Kaufman, A.
72,Heer, J.
73,Ward, M.O.
74,Kwan-Liu Ma
75,Zhou, M.X.
76,Muigg, P.
77,Hege, H.-C.
78,Maciejewski, R.
79,Weiwei Cui
80,Kindlmann, G.
81,Scheuermann, G.
82,Giesen, J.
83,Schneider, J.
84,Gorg, C.
85,Huamin Qu
86,Fisher, D.
87,Strasser, W.
88,Wenwen Dou
89,Kao, D.
90,Machiraju, R.
91,Chang, R.
92,Weaver, C.
93,Schreck, T.
94,Weber, G.H.
95,Fisher, B.
96,Fuchs, R.
97,Fujishiro, I.
98,Fracchia, F.D.
99,Silver, D.
100,Johansson, J.
101,Ertl, T.
102,Stasko, J.
103,Streit, M.
104,Callahan, S.P.
105,Hong Qin
106,Beyer, J.
107,Thomas, J.
108,de Leeuw, W.
109,Dayal, U.
110,Bezerianos, A.
111,Moran, P.J.
112,van Wijk, J.J.
113,Chi-Wing Fu
114,Wilkinson, L.
115,Tricoche, X.
116,Kenwright, D.
117,Hagen, H.
118,Fekete, J.
119,MÃ¶ller, T.
120,Ebert, D.S.
121,Schmalstieg, D.
122,Gleicher, M.
123,Hansen, C.
124,Sramek, M.
125,Treinish, L.A.
126,Brown, M.S.
127,Rumpf, M.
128,Shneiderman, B.
129,Gross, M.
130,Gracanin, D.
131,Chevalier, F.
132,Banks, D.C.
133,Wood, J.
134,Peikert, R.
135,Elmqvist, N.
136,Magnor, M.
137,Jankun-Kelly, T.J.
138,Rheingans, P.
139,Crossno, P.
140,Wattenberg, M.
141,Ye Zhao
142,Kraus, M.
143,Han-Wei Shen
144,Cignoni, P.
145,Ropinski, T.
146,Sadlo, F.
147,Meyer, M.
148,North, C.
149,Bajaj, C.L.
150,Carpendale, S.
151,Bartz, D.
152,Meyer, J.
153,Varshney, A.
154,Wright, W.
155,Green, T.M.
156,Oelke, D.
157,Rundensteiner, E.A.
158,Schumann, H.
159,Balakrishnan, R.
160,Seidel, H.-P.
161,Vuillemot, R.
162,Taylor, R.M.
163,Nielson, G.M.
164,Watson, B.
165,Wei Chen
166,Bertini, E.
167,Card, S.K.
168,Collins, C.
169,Agrawala, M.
170,Laramee, R.S.
171,Joy, K.I.
172,Hetzler, E.
173,Yagel, R.
174,MacEachren, A.M.
175,Jian Zhao
176,Thompson, D.
177,Hastreiter, P.
178,Tory, M.
179,Bosch, H.
180,Gobbetti, E.
181,van Liere, R.
182,Entezari, A.
183,Isenberg, P.
184,Waser, J.
185,Talbot, J.
186,Hanrahan, P.
187,Keyser, J.
188,Isenberg, T.
189,Yingcai Wu
190,Gyulassy, A.
191,Gotz, D.
192,Pagendarm, H.-G.
193,Freire, J.
194,Ribarsky, W.
195,Lane, D.A.
196,Lex, A.
197,Garth, C.
198,von Landesberger, T.
199,Bryson, S.
200,Chi, E.H.
201,Mroz, L.
202,Kniss, J.
203,Sips, M.
204,Hadwiger, M.
205,Dwyer, T.
206,Smith, S.
207,Aliaga, D.
208,Kruger, J.
209,Stolte, C.
210,Becker, B.
211,Shaw, C.
212,Dragicevic, P.
213,Sobierajski, L.
214,Silva, C.T.
215,Wan, M.
216,Xiaoyu Wang
217,Dykes, J.
218,Hamann, B.
219,Tal, A.
220,Schneidewind, J.
221,Hanson, A.J.
222,Pak Chung Wong
223,Bethel, E.W.
224,Gershon, N.
225,Max, N.
226,Aidong Lu
227,Whitaker, R.T.
228,Cohen, J.D.
229,Viola, I.
230,Keefe, D.F.
231,North, S.C.
232,Lichan Hong
233,Xianfeng Gu
234,Bergeron, R.D.
235,Xiaoru Yuan
236,Nonato, L.G.
237,Persson, A.
238,Anand, A.
239,Gumhold, S.
240,Wegenkittl, R.
241,Jing Yang
242,Doleisch, H.
243,Bederson, B.B.
244,Muelder, C.
245,Robertson, G.
246,Kosara, R.
247,Westermann, R.
248,Natarajan, V.
249,Bruckner, S.
250,Andrews, C.
251,Botha, C.P.
252,Vos, F.M.
253,Scheidegger, C.E.
254,Weiskopf, D.
255,Healey, C.
256,Lindstrom, P.
257,Telea, A.
258,Moorhead, R.J.
259,Uselton, S.
260,Isenburg, M.
261,Crawfis, R.
262,Bailey, M.
263,Jänicke, H.
264,Moller, T.
265,Haimes, R.
266,Matkovic, K.
267,El-Sana, J.
268,Pascucci, V.
269,Strobelt, H.
270,Chen, M.
271,Hauser, H.
272,Lorensen, W.F.
273,Endert, A.
274,Lehmann, D.J.
275,Zheng, X.
276,Plaisant, C.
277,Taosong He
278,Wiebel, A.
279,Chen, C.
280,Dong Hyun Jeong
281,van Ham, F.
282,Ljung, P.
283,Bak, P.
284,Duchaineau, M.
285,Zhang, E.
286,Hotz, I.
287,Riche, N.H.
288,Fleischmann, D.
289,van de Wetering, H.
290,Paulovich, F.V.
291,Pajarola, R.
292,Sedlmair, M.
293,Robinson, A.
294,Foote, H.
295,Post, F.H.
296,Harrison, L.
297,Scholtz, J.
298,Manocha, D.
